9	8713 Yosemite Ct.		Bothell	Washington	United States	98011	268AF621-76D7-4C78-9441-144FD139821A	2006-07-01 00:00:00.000
11	1318 Lasalle Street		Bothell	Washington	United States	98011	981B3303-ACA2-49C7-9A96-FB670785B269	2007-04-01 00:00:00.000
25	9178 Jumping St.		Dallas	Texas	United States	75201	C8DF3BD9-48F0-4654-A8DD-14A67A84D3C6	2006-09-01 00:00:00.000
28	9228 Via Del Sol		Phoenix	Arizona	United States	85004	12AE5EE1-FC3E-468B-9B92-3B970B169774	2005-09-01 00:00:00.000
32	26910 Indela Road		Montreal	Quebec	Canada	H1Y 2H5	84A95F62-3AE8-4E7E-BBD5-5A6F00CD982D	2006-08-01 00:00:00.000
185	2681 Eagle Peak		Bellevue	Washington	United States	98004	7BCCF442-2268-46CC-8472-14C44C14E98C	2006-09-01 00:00:00.000
297	7943 Walnut Ave		Renton	Washington	United States	98055	52410DA4-2778-4B1D-A599-95746625CE6D	2006-08-01 00:00:00.000
445	6388 Lake City Way		Burnaby	British Columbia	Canada	V5A 3A6	53572F25-9133-4A8B-A065-102FF35416EE	2006-09-01 00:00:00.000
446	52560 Free Street		Toronto	Ontario	Canada	M4B 1V7	801A1DFC-5125-486B-AA84-CCBD2EC57CA4	2005-08-01 00:00:00.000
447	22580 Free Street		Toronto	Ontario	Canada	M4B 1V7	88CEE379-DBB8-433B-B84E-A35E09435500	2006-08-01 00:00:00.000
448	2575 Bloor Street East		Toronto	Ontario	Canada	M4B 1V6	2DF6D0AD-0926-4F34-A450-9B1083150CBF	2007-08-01 00:00:00.000
449	Station E		Chalk Riber	Ontario	Canada	K0J 1J0	8B5A7729-CB75-4303-A607-7F9793B4D94F	2005-08-01 00:00:00.000
450	575 Rue St Amable		Quebec	Quebec	Canada	G1R	5F3C345A-6475-41D5-B17B-DB8D27733BB1	2006-09-01 00:00:00.000
451	2512-4th Ave Sw		Calgary	Alberta	Canada	T2P 2G8	49644F1E-6F90-46D9-8DBB-9DB15F0EF7EC	2006-12-01 00:00:00.000
452	55 Lakeshore Blvd East		Toronto	Ontario	Canada	M4B 1V6	A358652F-0E00-49E6-B6B0-DE1099C43506	2005-09-01 00:00:00.000
453	6333 Cote Vertu		Montreal	Quebec	Canada	H1Y 2H7	355681F2-4D9D-4522-BFA0-105BE64394D8	2007-09-01 00:00:00.000
454	3255 Front Street West		Toronto	Ontario	Canada	M4B 1V6	EF4DC57D-8B8B-4074-B5F0-ACBEF65DBEC1	2007-08-01 00:00:00.000
455	2550 Signet Drive		Weston	Ontario	Canada	M9V 4W3	43D582CF-E95F-4861-BA60-2DC7121410A6	2006-08-01 00:00:00.000
456	6777 Kingsway		Burnaby	British Columbia	Canada	V5H 3Z7	2F3B383E-08A5-407D-AB1B-A1390E87A888	2006-08-01 00:00:00.000
457	5250-505 Burning St		Vancouver	British Columbia	Canada	V7L 4J4	93F02C61-783D-4F04-8A57-416F25817ABA	2006-07-01 00:00:00.000
458	600 Slater Street		Ottawa	Ontario	Canada	K4B 1S2	49F4EE42-E20B-4E66-B43C-A28E9FC63CA0	2005-07-01 00:00:00.000
459	25575 The Queensway		Etobicoke	Ontario	Canada	M9W 3P3	616235EA-DC36-4C39-BF91-FFE12BB676E0	2005-08-01 00:00:00.000
460	2521 McPherson Street		Markham	Ontario	Canada	L3S 3K2	7D6F03AC-5D55-422E-850E-B8743FAC81B2	2007-08-01 00:00:00.000
461	2560 Bay Street		Toronto	Ontario	Canada	M4B 1V7	726819A8-1B02-4EFD-AEB9-3FD801D9F153	2006-08-01 00:00:00.000
462	630 University Avenue		Toronto	Ontario	Canada	M4B 1V7	27D5BDAD-647D-4A56-859A-BC6A82AF7DCD	2005-08-01 00:00:00.000
463	992 St Clair Ave East		Toronto	Ontario	Canada	M4B 1V7	D6ED51FA-6DD1-460C-99E0-64BA90F035AE	2005-09-01 00:00:00.000
464	99, Rue Saint-pierre		Pnot-Rouge	Quebec	Canada	J1E 2T7	C4A1EE36-8149-46B7-A313-A63010987A8E	2005-07-01 00:00:00.000
