1		Bikes	CFBDA25C-DF71-47A7-B81B-64EE161AA37C	2002-06-01 00:00:00.000
2		Components	C657828D-D808-4ABA-91A3-AF2CE02300E9	2002-06-01 00:00:00.000
3		Clothing	10A7C342-CA82-48D4-8A38-46A2EB089B74	2002-06-01 00:00:00.000
4		Accessories	2BE3BE36-D9A2-4EEE-B593-ED895D97C2A6	2002-06-01 00:00:00.000
5	1	Mountain Bikes	2D364ADE-264A-433C-B092-4FCBF3804E01	2002-06-01 00:00:00.000
6	1	Road Bikes	000310C0-BCC8-42C4-B0C3-45AE611AF06B	2002-06-01 00:00:00.000
7	1	Touring Bikes	02C5061D-ECDC-4274-B5F1-E91D76BC3F37	2002-06-01 00:00:00.000
8	2	Handlebars	3EF2C725-7135-4C85-9AE6-AE9A3BDD9283	2002-06-01 00:00:00.000
9	2	Bottom Brackets	A9E54089-8A1E-4CF5-8646-E3801F685934	2002-06-01 00:00:00.000
10	2	Brakes	D43BA4A3-EF0D-426B-90EB-4BE4547DD30C	2002-06-01 00:00:00.000
11	2	Chains	E93A7231-F16C-4B0F-8C41-C73FDEC62DA0	2002-06-01 00:00:00.000
12	2	Cranksets	4F644521-422B-4F19-974A-E3DF6102567E	2002-06-01 00:00:00.000
13	2	Derailleurs	1830D70C-AA2A-40C0-A271-5BA86F38F8BF	2002-06-01 00:00:00.000
14	2	Forks	B5F9BA42-B69B-4FDD-B2EC-57FB7B42E3CF	2002-06-01 00:00:00.000
15	2	Headsets	7C782BBE-5A16-495A-AA50-10AFE5A84AF2	2002-06-01 00:00:00.000
16	2	Mountain Frames	61B21B65-E16A-4BE7-9300-4D8E9DB861BE	2002-06-01 00:00:00.000
17	2	Pedals	6D24AC07-7A84-4849-864A-865A14125BC9	2002-06-01 00:00:00.000
18	2	Road Frames	5515F857-075B-4F9A-87B7-43B4997077B3	2002-06-01 00:00:00.000
19	2	Saddles	049FFFA3-9D30-46DF-82F7-F20730EC02B3	2002-06-01 00:00:00.000
20	2	Touring Frames	D2E3F1A8-56C4-4F36-B29D-5659FC0D2789	2002-06-01 00:00:00.000
21	2	Wheels	43521287-4B0B-438E-B80E-D82D9AD7C9F0	2002-06-01 00:00:00.000
22	3	Bib-Shorts	67B58D2B-5798-4A90-8C6C-5DDACF057171	2002-06-01 00:00:00.000
23	3	Caps	430DD6A8-A755-4B23-BB05-52520107DA5F	2002-06-01 00:00:00.000
24	3	Gloves	92D5657B-0032-4E49-BAD5-41A441A70942	2002-06-01 00:00:00.000
25	3	Jerseys	09E91437-BA4F-4B1A-8215-74184FD95DB8	2002-06-01 00:00:00.000
26	3	Shorts	1A5BA5B3-03C3-457C-B11E-4FA85EDE87DA	2002-06-01 00:00:00.000
27	3	Socks	701019C3-09FE-4949-8386-C6CE686474E5	2002-06-01 00:00:00.000
28	3	Tights	5DEB3E55-9897-4416-B18A-515E970BC2D1	2002-06-01 00:00:00.000
29	3	Vests	9AD7FE93-5BA0-4736-B578-FF80A2071297	2002-06-01 00:00:00.000
30	4	Bike Racks	4624B5CE-66D6-496B-9201-C053DF3556CC	2002-06-01 00:00:00.000
31	4	Bike Stands	43B445C8-B820-424E-A1D5-90D81DA0B46F	2002-06-01 00:00:00.000
32	4	Bottles and Cages	9B7DFF41-9FA3-4776-8DEF-2C9A48C8B779	2002-06-01 00:00:00.000
33	4	Cleaners	9AD3BCF0-244D-4EC4-A6A0-FB701351C6A3	2002-06-01 00:00:00.000
34	4	Fenders	1697F8A2-0A08-4883-B7DD-D19117B4E9A7	2002-06-01 00:00:00.000
35	4	Helmets	F5E07A33-C9E0-439C-B5F3-9F25FB65BECC	2002-06-01 00:00:00.000
36	4	Hydration Packs	646A8906-FC87-4267-A443-9C6D791E6693	2002-06-01 00:00:00.000
37	4	Lights	954178BA-624F-42DB-95F6-CA035F36D130	2002-06-01 00:00:00.000
38	4	Locks	19646983-3FA0-4773-9A0C-F34C49DF9BC8	2002-06-01 00:00:00.000
39	4	Panniers	3002A5D5-FEC3-464B-BEF3-E0F81D35F431	2002-06-01 00:00:00.000
40	4	Pumps	FE4D46F2-C87C-48C5-A4A1-3F55712D80B1	2002-06-01 00:00:00.000
41	4	Tires and Tubes	3C17C9AE-E906-48B4-BDD3-60E28D47DCDF	2002-06-01 00:00:00.000
